StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,SI1,SI1_10_TEXT,SI2,SI2_4_TEXT,SI3,SI4,SI4_15_TEXT,SI5_1,SI5_2,SI5_3,SI5_4,SI5_5,SI5_6,SI5_7,SI5_8,SI5_9,SI5_10,SI5_11,SI5_12,SI5_13,SI5_14,SI5_15,SI5_15_TEXT,SI6,SI6_10_TEXT,SI7,SI7_10_TEXT,Q13,SI8,SI8_8_TEXT,SI9,SI9_10_TEXT,SI10,SI10_6_TEXT,SI11,SI11,SI11_6_TEXT,SI12,SI12_6_TEXT,SI13,SI13_5_TEXT
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please select the role that best describes you. - Selected Choice,Please select the role that best describes you. - Other (Please Specify) - Text,"In your current role, how would you describe your level of involvement in changing foodservice menus? - Selected Choice","In your current role, how would you describe your level of involvement in changing foodservice menus? - Other (Please Specify) - Text",Which of the following foodservice models best describe how foodservice is provided at your institution? Please select all that apply.,"With regards to changing foodservice menus, please select the process(es) that fall within your purview. - Selected Choice","With regards to changing foodservice menus, please select the process(es) that fall within your purview. - Other (Please Specify) - Text","Based on the process(es) you selected, please rank the following in order from most challenging (i.e., 1) to least challenging. - Creating and Testing New Recipes","Based on the process(es) you selected, please rank the following in order from most challenging (i.e., 1) to least challenging. - Identifying Existing Recipes","Based on the process(es) you selected, please rank the following in order from most challenging (i.e., 1) to least challenging. - Conducting Nutritional Analysis","Based on the process(es) you selected, please rank the following in order from most challenging (i.e., 1) to least challenging. - Assessing Alignment with Therapeutic Diets","Based on the process(es) you selected, please rank the following in order from most challenging (i.e., 1) to least challenging. - Sourcing Ingredients","Based on the process(es) you selected, please rank the following in order from most challenging (i.e., 1) to least challenging. - Preparing Recipes","Based on the process(es) you selected, please rank the following in order from most challenging (i.e., 1) to least challenging. - Training Foodservice Staff","Based on the process(es) you selected, please rank the following in order from most challenging (i.e., 1) to least challenging. - Managing Staff Time and Workflows","Based on the process(es) you selected, please rank the following in order from most challenging (i.e., 1) to least challenging. - Securing Kitchen Equipment and Appliances","Based on the process(es) you selected, please rank the following in order from most challenging (i.e., 1) to least challenging. - Creating Marketing and Promotional Materials","Based on the process(es) you selected, please rank the following in order from most challenging (i.e., 1) to least challenging. - Persuading Executive Leadership","Based on the process(es) you selected, please rank the following in order from most challenging (i.e., 1) to least challenging. - Persuading Staff and Colleagues","Based on the process(es) you selected, please rank the following in order from most challenging (i.e., 1) to least challenging. - Communicating Menu Options to Patients and Diners","Based on the process(es) you selected, please rank the following in order from most challenging (i.e., 1) to least challenging. - Communicating Menu Changes to Clinical Staff","Based on the process(es) you selected, please rank the following in order from most challenging (i.e., 1) to least challenging. - Other (Please Specify)","Based on the process(es) you selected, please rank the following in order from most challenging (i.e., 1) to least challenging. - Other (Please Specify) - Text",Who within your institution tends to initiate changes to foodservice menus? - Selected Choice,Who within your institution tends to initiate changes to foodservice menus? - Other (Please Specify) - Text,Who within your institution tends to have the most influence when changing foodservice menus? - Selected Choice,Who within your institution tends to have the most influence when changing foodservice menus? - Other (Please Specify) - Text,Are you aware of any larger organizational initiatives to adopt more plant-forward menus within your institution or health system?,Do you feel plant-forward menu changes can conflict with any of the following organizational priorities? Please select all that apply. - Selected Choice,Do you feel plant-forward menu changes can conflict with any of the following organizational priorities? Please select all that apply. - Other (Please Specify) - Text,"What types of support resources and/or training materials, if any, currently exist to aid the adoption of more plant-forward menus within your institution or health system? - Selected Choice","What types of support resources and/or training materials, if any, currently exist to aid the adoption of more plant-forward menus within your institution or health system? - Other (Please Specify) - Text",Please select the topic area(s) these support resources and/or training materials cover. - Selected Choice,Please select the topic area(s) these support resources and/or training materials cover. - Other (Please Specify) - Text,"Do you think these support resources and/or training materials are being used? If not, why?",Which constraints do you think prevent or limit the adoption of more plant-forward menus? - Selected Choice,Which constraints do you think prevent or limit the adoption of more plant-forward menus? - Other (Please Specify) - Text,How do you typically disseminate information to your staff and colleagues? - Selected Choice,How do you typically disseminate information to your staff and colleagues? - Other (Please Specify) - Text,Where would you feel most comfortable accessing newly developed materials to assist with successf... - Selected Choice,Where would you feel most comfortable accessing newly developed materials to assist with successf... - Other (Please Specify) - Text
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_10_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_4_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_15_TEXT""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID6_6""}","{""ImportId"":""QID6_7""}","{""ImportId"":""QID6_8""}","{""ImportId"":""QID6_9""}","{""ImportId"":""QID6_10""}","{""ImportId"":""QID6_11""}","{""ImportId"":""QID6_12""}","{""ImportId"":""QID6_13""}","{""ImportId"":""QID6_14""}","{""ImportId"":""QID6_15""}","{""ImportId"":""QID6_x15_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_10_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_10_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID11""}","{""ImportId"":""QID11_8_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_10_TEXT""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_6_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID17_6_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_6_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_5_TEXT""}"
2026-02-06 14:59:36,2026-02-06 15:07:42,IP Address,*******,100,486,True,2026-02-06 15:07:43,R_5dqpn1DyjUWOMVP,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Directly Involved,,Self Operated,"Creating and Testing New Recipes,Identifying Existing Recipes,Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets,Creating Marketing and Promotional Materials,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,,,,,,,,,,,,,,,,,Director of Foodservice,,Chef or Culinary Director,,No,"Profitability,Patient Satisfaction,Cost Containment",,Recipes,,,,,"Lack of Buy-In or Acceptance,Issues with Procurement of Ingredients,Perceptions of Increasing Food Waste",,"In-Person Meetings,Pre- or Post-Shift Huddles,Newsletter or Listserv",,"Greener by Default (GBD) Website,Other (Please Specify)",
2026-02-06 15:11:06,2026-02-06 15:15:06,IP Address,*******,100,239,True,2026-02-06 15:15:06,R_16gBov6JAhHS44F,*******,*******,*******,*******,*******,*******,anonymous,EN,Nutrition Manager or Director,,Directly Involved,,Self Operated,"Creating and Testing New Recipes,Identifying Existing Recipes,Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets,Creating Marketing and Promotional Materials,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,,,,,,,,,,,,,,,,,"Nutrition Manager or Director,Director of Foodservice",,"Nutrition Manager or Director,Director of Foodservice",,,,,,,,,,,,,,,
2026-02-09 10:35:48,2026-02-09 10:40:52,IP Address,*******,100,303,True,2026-02-09 10:40:52,R_67lLSEDSAXJFbTi,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09 11:01:18,2026-02-09 11:13:18,IP Address,*******,100,720,True,2026-02-09 11:13:19,R_1QrfBejDVigYQxw,*******,*******,*******,*******,*******,*******,anonymous,EN,Regional Manager,,Directly Involved,,Contract Managed,"Identifying Existing Recipes,Assessing Alignment with Therapeutic Diets,Sourcing Ingredients,Preparing Recipes,Training Foodservice Staff,Managing Staff Time and Workflows,Securing Kitchen Equipment and Appliances,Creating Marketing and Promotional Materials,Persuading Executive Leadership,Persuading Staff and Colleagues,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,,6,,8,7,9,4,10,2,12,1,3,11,5,,,Regional Manager,,Other (Please Specify),Local CEO's have the strongest opinion. Often at odds with client senior leadership,Yes,"Patient Satisfaction,Client Satisfaction,Other (Please Specify)",not embraced by client. Fully embraced by Sodexo,Other (Please Specify),Client engagement at the local CEO level,"Organizational Culture (creating a culture of health and sustainability, creating buy-in),Staff Education and Capacity",,No - The is a gap between what corporate leadership values and what the local CEO's promote,Lack of Buy-In or Acceptance,,"In-Person Meetings,Virtual Meetings,Direct Email or Instant Message,Pre- or Post-Shift Huddles",,"American College of Lifestyle Medicine (ACLM) Website,Contracted Foodservice Management Company",
2026-02-09 12:45:11,2026-02-09 12:50:02,IP Address,*******,100,290,True,2026-02-09 12:50:02,R_7yORorFSbWcwush,*******,*******,*******,*******,*******,*******,anonymous,EN,Nutrition Manager or Director,,Indirectly Involved,,Contract Managed,"Creating and Testing New Recipes,Identifying Existing Recipes,Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets,Sourcing Ingredients,Preparing Recipes,Training Foodservice Staff,Managing Staff Time and Workflows,Securing Kitchen Equipment and Appliances,Persuading Executive Leadership,Persuading Staff and Colleagues,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,12,5,6,7,8,9,3,1,10,,11,2,13,4,,,Chef or Culinary Director,,Chef or Culinary Director,,Yes,"Patient Satisfaction,Diner Satisfaction",,"Implementation Toolkits,Training Videos,Culinary Training Programs,Scripts for Diner-Facing Staff,Educational Pamphlets,Recipes,Value Propositions",,"Menu Promotion,Staff Education and Capacity,Food Systems Sustainability,Nutritional and Dietary Health",,Yes,Lack of Buy-In or Acceptance,,"In-Person Meetings,Virtual Meetings,Pre- or Post-Shift Huddles",,"American College of Lifestyle Medicine (ACLM) Website,Contracted Foodservice Management Company,My Institution's Intranet or Staff Hub",
2026-02-09 13:28:29,2026-02-09 13:44:53,IP Address,*******,100,983,True,2026-02-09 13:44:53,R_3TYtidjUiOaGopJ,*******,*******,*******,*******,*******,*******,anonymous,EN,Director of Foodservice,,Directly Involved,,Self Operated,"Creating and Testing New Recipes,Identifying Existing Recipes,Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets,Sourcing Ingredients,Preparing Recipes,Training Foodservice Staff,Managing Staff Time and Workflows,Securing Kitchen Equipment and Appliances,Persuading Executive Leadership,Persuading Staff and Colleagues,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,3,7,8,1,4,5,9,2,10,,11,6,12,13,,,Patient Services Manager or Director,,Production Manager,,No,"Patient Satisfaction,Diner Satisfaction",,,,,,,"Limited Staff Time,Other (Please Specify)",CHanges to menus is more complicated than swapping recipes. It requires modifying the printed menus and this is a huge undertaking and has significant costs associated with it,"In-Person Meetings,Direct Email or Instant Message,Pre- or Post-Shift Huddles",,Other (Please Specify),I do not feel resources are necessary. We have the power to make this change within our dept and need to overcome the costs for menu changes
2026-02-09 14:33:25,2026-02-09 14:46:34,IP Address,*******,100,789,True,2026-02-09 14:46:34,R_3O1MuoiELZR0Ar7,*******,*******,*******,*******,*******,*******,anonymous,EN,Other (Please Specify),Assistant Vice President Nutrition Services,Indirectly Involved,,Self Operated,"Persuading Executive Leadership,Persuading Staff and Colleagues,Other (Please Specify)","Service line strategy, initiatives, stewardship, and branding",,,,,,,,,,,,,,,,,"Nutrition Manager or Director,Director of Foodservice,Chef or Culinary Director,Patient Services Manager or Director,Dietitian,Production Manager",,"Nutrition Manager or Director,Director of Foodservice,Chef or Culinary Director,Patient Services Manager or Director",,Yes,,,"Implementation Toolkits,Culinary Training Programs,One-Page Explainers,Value Propositions",,"Organizational Culture (creating a culture of health and sustainability, creating buy-in),Food Systems Sustainability",,,Lack of Buy-In or Acceptance,,"In-Person Meetings,Virtual Meetings,Direct Email or Instant Message,Newsletter or Listserv,Other (Please Specify)",,"American College of Lifestyle Medicine (ACLM) Website,Other (Please Specify)",Food as Medicine Association; Academy of Nutrition and Dietetics
2026-02-09 15:30:41,2026-02-09 15:35:02,IP Address,*******,100,260,True,2026-02-09 15:35:02,R_1bNWDNFCB4qtDrq,*******,*******,*******,*******,*******,*******,anonymous,EN,Other (Please Specify),physician,Not Involved,,Unsure,Persuading Executive Leadership,,,,,,,,,,,,,,,,,,"Director of Foodservice,Regional Manager",,Director of Foodservice,,No,,,,,,,,"Limited Staff Time,Lack of Buy-In or Acceptance",,"In-Person Meetings,Direct Email or Instant Message",,"American College of Lifestyle Medicine (ACLM) Website,Greener by Default (GBD) Website,My Institution's Intranet or Staff Hub",
2026-02-09 17:53:23,2026-02-09 17:58:24,IP Address,*******,100,300,True,2026-02-09 17:58:24,R_5o09ll6hpHKWtOa,*******,*******,*******,*******,*******,*******,anonymous,EN,Other (Please Specify),"Cardiologist ",Not Involved,,Contract Managed,,,,,,,,,,,,,,,,,,,,,,,No,Diner Satisfaction,,"Implementation Toolkits,Training Videos,Culinary Training Programs,Scripts for Diner-Facing Staff,Educational Pamphlets,Recipes,One-Page Explainers,Promotional Materials or Signage,Other (Please Specify)",Education from physicians about food as cause for chronic disease,"Menu Promotion,Organizational Culture (creating a culture of health and sustainability, creating buy-in),Staff Education and Capacity,Nutritional and Dietary Health",,"Not much.  Needs to be more prominent ",Lack of Buy-In or Acceptance,,"In-Person Meetings,Virtual Meetings,Direct Email or Instant Message",,"American College of Lifestyle Medicine (ACLM) Website,Contracted Foodservice Management Company,Other (Please Specify)",Other medical institutions that incorporate thus
2026-02-09 19:02:16,2026-02-09 19:07:22,IP Address,*******,100,306,True,2026-02-09 19:07:24,R_1knBi6yNeitrUzO,*******,*******,*******,*******,*******,*******,anonymous,EN,Patient Services Manager or Director,,Not Involved,,Contract Managed,Persuading Staff and Colleagues,,,,,,,,,,,,,,,,,,Director of Foodservice,,Director of Foodservice,,No,Patient Satisfaction,,Promotional Materials or Signage,,"Menu Promotion,Nutritional and Dietary Health",,Probably not to the full extend,Lack of Buy-In or Acceptance,,"In-Person Meetings,Virtual Meetings,Direct Email or Instant Message,Pre- or Post-Shift Huddles,Newsletter or Listserv",,"American College of Lifestyle Medicine (ACLM) Website,My Institution's Intranet or Staff Hub",
2026-02-10 08:21:53,2026-02-10 08:50:30,IP Address,*******,100,1717,True,2026-02-10 08:50:31,R_3yd87XaOWFqEW4V,*******,*******,*******,*******,*******,*******,anonymous,EN,Regional Manager,,Indirectly Involved,,Self Operated,"Conducting Nutritional Analysis,Creating Marketing and Promotional Materials,Persuading Staff and Colleagues,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,,,3,,,,,,,4,,2,5,1,,,Regional Manager,,"Nutrition Manager or Director,Director of Foodservice,Chef or Culinary Director,Patient Services Manager or Director,Regional Manager",,No,"Profitability,Patient Satisfaction,Cost Containment",,Recipes,,Nutritional and Dietary Health,,,"Lack of Buy-In or Acceptance,Issues with Procurement of Ingredients",,"In-Person Meetings,Virtual Meetings",,My Institution's Intranet or Staff Hub,
2026-02-10 08:47:13,2026-02-10 08:52:54,IP Address,*******,100,341,True,2026-02-10 08:52:55,R_5LvrVSEMKvQO8X6,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Indirectly Involved,,Contract Managed,"Persuading Executive Leadership,Persuading Staff and Colleagues,Other (Please Specify)",Healthy Food and Beverage Environment Policy changes,,,,,,,,,,,2,1,,,3,policy changes,Other (Please Specify),unsure,Other (Please Specify),unsure,Yes,,,"Recipes,Promotional Materials or Signage",,Nutritional and Dietary Health,,yes,"Lack of Buy-In or Acceptance,Perceptions of Increasing Food Waste",,"Virtual Meetings,Direct Email or Instant Message",,"American College of Lifestyle Medicine (ACLM) Website,My Institution's Intranet or Staff Hub",
2026-02-10 09:58:32,2026-02-10 10:04:02,IP Address,*******,100,329,True,2026-02-10 10:04:02,R_3PbFxV1rKb2XWbn,*******,*******,*******,*******,*******,*******,anonymous,EN,Regional Manager,,Directly Involved,,Self Operated,"Creating and Testing New Recipes,Identifying Existing Recipes,Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets,Sourcing Ingredients,Training Foodservice Staff,Managing Staff Time and Workflows,Securing Kitchen Equipment and Appliances,Persuading Executive Leadership,Persuading Staff and Colleagues,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,3,5,6,2,7,,4,8,9,,10,1,11,12,,,Regional Manager,,Chef or Culinary Director,,Yes,"Profitability,Client Satisfaction",,"Training Videos,Recipes,Promotional Materials or Signage",,"Staff Education and Capacity,Other (Please Specify)",How to prepare these items appropriately,,"Limited Staff Time,Lack of Buy-In or Acceptance,Other (Please Specify)",General population wants meat,"In-Person Meetings,Pre- or Post-Shift Huddles",,My Institution's Intranet or Staff Hub,
2026-02-10 14:09:38,2026-02-10 14:14:19,IP Address,*******,100,281,True,2026-02-10 14:14:20,R_7PpSlvdp5ZcZrbS,*******,*******,*******,*******,*******,*******,anonymous,EN,Sustainability Manager or Director,,Directly Involved,,Self Operated,"Creating and Testing New Recipes,Identifying Existing Recipes,Sourcing Ingredients,Persuading Executive Leadership,Persuading Staff and Colleagues",,5,4,,,3,,,,,,2,1,,,,,"Nutrition Manager or Director,Chef or Culinary Director,Regional Manager,Sustainability Manager or Director",,"Nutrition Manager or Director,Director of Foodservice,Chef or Culinary Director,Patient Services Manager or Director,Dietitian,Production Manager,Foodservice Supervisor,Regional Manager,Sustainability Manager or Director",,Yes,,,"Recipes,Promotional Materials or Signage",,"Menu Promotion,Organizational Culture (creating a culture of health and sustainability, creating buy-in),Staff Education and Capacity,Food Systems Sustainability,Nutritional and Dietary Health",,"no, because no one is driving the work yet. ",Lack of Buy-In or Acceptance,,"In-Person Meetings,Virtual Meetings,Direct Email or Instant Message",,"American College of Lifestyle Medicine (ACLM) Website,Greener by Default (GBD) Website",
