StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,SI1,SI1_10_TEXT,SI2,SI2_4_TEXT,SI3,SI4,SI4_15_TEXT,SI5_1,SI5_2,SI5_3,SI5_4,SI5_5,SI5_6,SI5_7,SI5_8,SI5_9,SI5_10,SI5_11,SI5_12,SI5_13,SI5_14,SI5_15,SI5_15_TEXT,SI6,SI6_10_TEXT,SI7,SI7_10_TEXT,Q13,SI8,SI8_8_TEXT,SI9,SI9_10_TEXT,SI10,SI10_6_TEXT,SI11,SI11,SI11_6_TEXT,SI12,SI12_6_TEXT,SI13,SI13_5_TEXT
2026-02-11 09:40:31,2026-02-11 09:45:23,IP Address,*******,100,291,True,2026-02-11 09:45:24,R_1gPWdkrBQDJZRxT,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Indirectly Involved,,Self Operated,Identifying Existing Recipes,,,,,,,,,,,,,,,,,,"Director of Foodservice,Foodservice Supervisor",,"Patient Services Manager or Director,Foodservice Supervisor",,No,,,Recipes,,Nutritional and Dietary Health,,uncertain,Lack of Buy-In or Acceptance,,Direct Email or Instant Message,,"American College of Lifestyle Medicine (ACLM) Website,Greener by Default (GBD) Website",
2026-02-11 10:04:36,2026-02-11 11:12:32,IP Address,*******,100,4075,True,2026-02-11 11:12:32,R_5oBHuHBjBU1ExFN,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Directly Involved,,Self Operated,"Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,,,4,2,,,,,,,,,3,1,,,Director of Foodservice,,Director of Foodservice,,No,Diner Satisfaction,,Other (Please Specify),Simple Health Programs-Lifestyle Medicine,Nutritional and Dietary Health,,,Other (Please Specify),Not sure,"In-Person Meetings,Direct Email or Instant Message",,American College of Lifestyle Medicine (ACLM) Website,
2026-02-11 11:19:07,2026-02-11 11:21:43,IP Address,*******,100,156,True,2026-02-11 11:21:43,R_1ZY6iyUrPFDVvSV,*******,*******,*******,*******,*******,*******,anonymous,EN,Director of Foodservice,,Directly Involved,,Self Operated,"Creating and Testing New Recipes,Identifying Existing Recipes,Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets,Sourcing Ingredients,Preparing Recipes,Training Foodservice Staff,Managing Staff Time and Workflows,Securing Kitchen Equipment and Appliances,Creating Marketing and Promotional Materials,Persuading Executive Leadership,Persuading Staff and Colleagues,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,1,2,3,4,5,6,7,8,9,10,11,12,13,14,,,"Nutrition Manager or Director,Director of Foodservice",,"Nutrition Manager or Director,Director of Foodservice",,Yes,"Profitability,Patient Satisfaction,Diner Satisfaction,Cost Containment",,,,,,"Sometimes if they are easy to use and relevant to your vendors. ","Limited Staff Time,Lack of Buy-In or Acceptance,Perceptions of Increasing Food Waste",,"Direct Email or Instant Message,Pre- or Post-Shift Huddles",,American College of Lifestyle Medicine (ACLM) Website,
2026-02-13 06:02:51,2026-02-13 06:12:33,IP Address,*******,100,582,True,2026-02-13 06:12:34,R_6Cm4pE1XNx1d19k,*******,*******,*******,*******,*******,*******,anonymous,EN,Foodservice Supervisor,,Directly Involved,,Unsure,"Creating and Testing New Recipes,Identifying Existing Recipes,Assessing Alignment with Therapeutic Diets,Sourcing Ingredients,Preparing Recipes,Training Foodservice Staff,Managing Staff Time and Workflows,Securing Kitchen Equipment and Appliances,Persuading Staff and Colleagues,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,3,9,,2,7,4,5,1,8,,,6,10,11,,,"Nutrition Manager or Director,Dietitian,Foodservice Supervisor,Other (Please Specify)",SLT,"Dietitian,Other (Please Specify)",SLT,No,"Profitability,Patient Satisfaction,Diner Satisfaction,Client Satisfaction,Cost Containment,Sustainability",,"Recipes,Promotional Materials or Signage",,"Menu Promotion,Nutritional and Dietary Health",,Yes. Primarily just signage (my plate),"Lack of Buy-In or Acceptance,Issues with Procurement of Ingredients,Perceptions of Increasing Food Waste",,"In-Person Meetings,Direct Email or Instant Message,Pre- or Post-Shift Huddles,Newsletter or Listserv",,"Contracted Foodservice Management Company,My Institution's Intranet or Staff Hub",
2026-02-13 10:07:05,2026-02-13 10:11:51,IP Address,*******,100,285,True,2026-02-13 10:11:51,R_3q8hKvBtQulSRwT,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-13 11:44:25,2026-02-13 11:47:30,IP Address,*******,100,184,True,2026-02-13 11:47:30,R_6L2HXrDhdlpG4BH,*******,*******,*******,*******,*******,*******,anonymous,EN,Nutrition Manager or Director,,Indirectly Involved,,Contract Managed,"Assessing Alignment with Therapeutic Diets,Persuading Executive Leadership,Persuading Staff and Colleagues,Communicating Menu Changes to Clinical Staff",,,,,3,,,,,,,2,1,,4,,,Director of Foodservice,,Director of Foodservice,,No,"Profitability,Patient Satisfaction,Cost Containment",,Other (Please Specify),"none ",Other (Please Specify),"none ",,Other (Please Specify),"none ","In-Person Meetings,Virtual Meetings,Direct Email or Instant Message",,Other (Please Specify),"no preference, would need to review materials "
2026-02-13 11:41:09,2026-02-13 11:50:43,IP Address,*******,100,574,True,2026-02-13 11:50:43,R_5uPoVjwiSEMLcwX,*******,*******,*******,*******,*******,*******,anonymous,EN,Nutrition Manager or Director,,Indirectly Involved,,Contract Managed,"Assessing Alignment with Therapeutic Diets,Communicating Menu Changes to Clinical Staff",,,,,,,,,,,,,,,,,,"Director of Foodservice,Regional Manager",,Regional Manager,,Yes,Patient Satisfaction,,One-Page Explainers,,Nutritional and Dietary Health,,"Patients are provided a menu with a description of their diet. ",Lack of Buy-In or Acceptance,,"In-Person Meetings,Virtual Meetings,Direct Email or Instant Message,Pre- or Post-Shift Huddles",,My Institution's Intranet or Staff Hub,
2026-02-13 12:33:25,2026-02-13 12:45:10,IP Address,*******,100,704,True,2026-02-13 12:45:10,R_6shlrmybUSqSRXz,*******,*******,*******,*******,*******,*******,anonymous,EN,Nutrition Manager or Director,,Indirectly Involved,,Contract Managed,"Assessing Alignment with Therapeutic Diets,Communicating Menu Changes to Clinical Staff",,,,,1,,,,,,,,,,2,,,Nutrition Manager or Director,,Nutrition Manager or Director,,No,Patient Satisfaction,,Other (Please Specify),Don't know of specific resources,,,N/A,Lack of Buy-In or Acceptance,,"In-Person Meetings,Direct Email or Instant Message,Pre- or Post-Shift Huddles",,My Institution's Intranet or Staff Hub,
2026-02-13 12:35:54,2026-02-13 12:54:43,IP Address,*******,100,1129,True,2026-02-13 12:54:43,R_57hkufrnOB7tLsB,*******,*******,*******,*******,*******,*******,anonymous,EN,Regional Manager,,Directly Involved,,Contract Managed,"Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets,Securing Kitchen Equipment and Appliances,Creating Marketing and Promotional Materials,Persuading Executive Leadership,Persuading Staff and Colleagues,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,,,2,3,,,,,1,7,8,6,4,5,,,Regional Manager,,Regional Manager,,Yes,Patient Satisfaction,,"Implementation Toolkits,Training Videos,Culinary Training Programs,Scripts for Diner-Facing Staff,Educational Pamphlets,Recipes,One-Page Explainers,Value Propositions,Promotional Materials or Signage",,"Staff Education and Capacity,Nutritional and Dietary Health",,"Iin use, especially for staff training","Limited Staff Time,Lack of Equipment or Space,Lack of Buy-In or Acceptance,Issues with Procurement of Ingredients,Perceptions of Increasing Food Waste",,"In-Person Meetings,Virtual Meetings,Pre- or Post-Shift Huddles",,"American College of Lifestyle Medicine (ACLM) Website,Contracted Foodservice Management Company",
2026-02-06 15:15:10,2026-02-06 15:20:00,IP Address,*******,35,289,False,2026-02-13 15:20:02,R_1LBsO2ccQW0wX0J,*******,*******,*******,*******,*******,*******,anonymous,EN,Nutrition Manager or Director,,Directly Involved,,Self Operated,"Creating and Testing New Recipes,Identifying Existing Recipes,Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets",,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06 15:30:31,2026-02-06 15:30:40,IP Address,*******,6,9,False,2026-02-13 15:30:41,R_6meHqBAsckcGupg,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-13 16:25:23,2026-02-13 16:30:06,IP Address,*******,100,282,True,2026-02-13 16:30:07,R_1kHzZnsz6LSRU2g,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Indirectly Involved,,Contract Managed,"Assessing Alignment with Therapeutic Diets,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,,,,,,,,,,,,,,,,,Director of Foodservice,,Director of Foodservice,,No,Patient Satisfaction,,,,,,,Lack of Buy-In or Acceptance,,"In-Person Meetings,Virtual Meetings,Direct Email or Instant Message",,"American College of Lifestyle Medicine (ACLM) Website,My Institution's Intranet or Staff Hub",
2026-02-09 11:16:26,2026-02-09 11:16:39,IP Address,*******,6,12,False,2026-02-16 11:16:40,R_5aKybfvCmdQnqmV,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09 11:27:13,2026-02-09 11:27:24,IP Address,*******,6,10,False,2026-02-16 11:31:06,R_7ygA5fZ2DbBKgRf,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-09 11:29:19,2026-02-09 11:36:51,IP Address,*******,6,451,False,2026-02-16 11:36:51,R_5zkH3xB0WEKYyzf,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-16 13:11:52,2026-02-16 14:23:29,IP Address,*******,100,4297,True,2026-02-16 14:23:29,R_1ziOYx4sstJUsc8,*******,*******,*******,*******,*******,*******,anonymous,EN,Other (Please Specify),National Director of Population Health & Sustainability,Not Involved,,Contract Managed,"Identifying Existing Recipes,Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets,Sourcing Ingredients,Training Foodservice Staff,Creating Marketing and Promotional Materials,Persuading Executive Leadership,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff,Other (Please Specify)",Conduit to suggest modifications to menus based on client requests and contracting,,9,3,2,6,,5,,,8,1,,7,4,10,,"Nutrition Manager or Director,Director of Foodservice,Chef or Culinary Director,Patient Services Manager or Director,Other (Please Specify)",Depends- corporate team sets up corporate menu and operations team at each hospital have flexibility within the framework to align with the DRIs of their hospital population,Chef or Culinary Director,,Yes,"Patient Satisfaction,Diner Satisfaction,Client Satisfaction,Sustainability,Other (Please Specify)","While I personally support plant based initiatives, these are the challenges that we come across","Implementation Toolkits,Training Videos,Culinary Training Programs,Scripts for Diner-Facing Staff,Recipes,Promotional Materials or Signage,Other (Please Specify)",Many of these toolkits exist for a one time promotion - we could benefit from a core toolkit,Menu Promotion,,"Yes but we could benefit from a broader platform that is corporate facing that leads with health as to why we support plant based eating; we could also benefit from a document that addresses out partnership with GBD and our hospital clients needs a fresher platform for plant based eating. They cling to Meatless Monday as a way to activate plant based eating in hospitals because they feel itâ€™s the only thing out there but no one loves their marketing and would like a modern, fresh take on that includes broader social benefits in addition to health impact.","Lack of Buy-In or Acceptance,Perceptions of Increasing Food Waste",,"Virtual Meetings,Pre- or Post-Shift Huddles,Newsletter or Listserv",,"Greener by Default (GBD) Website,Contracted Foodservice Management Company,My Institution's Intranet or Staff Hub,Other (Please Specify)",Corporate teams would access from GBD and then disseminate to all hotels across out internal channels for communication
2026-02-17 12:19:36,2026-02-17 12:37:21,IP Address,*******,100,1065,True,2026-02-17 12:37:21,R_3pfgFvSAzOZkTzt,*******,*******,*******,*******,*******,*******,anonymous,EN,Chef or Culinary Director,,Indirectly Involved,,Contract Managed,"Creating and Testing New Recipes,Identifying Existing Recipes,Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets,Training Foodservice Staff,Persuading Executive Leadership,Persuading Staff and Colleagues",,1,4,5,6,,,2,,,,3,7,,,,,Director of Foodservice,,Director of Foodservice,,Yes,,,"Training Videos,Culinary Training Programs,Educational Pamphlets,Recipes,One-Page Explainers",,"Menu Promotion,Staff Education and Capacity,Food Systems Sustainability,Nutritional and Dietary Health",,Time,Other (Please Specify),Education,"In-Person Meetings,Virtual Meetings",,"American College of Lifestyle Medicine (ACLM) Website,My Institution's Intranet or Staff Hub",
2026-02-10 13:18:30,2026-02-10 13:19:13,IP Address,*******,6,43,False,2026-02-17 13:19:14,R_7IvZL1y4MwPRXgZ,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-17 16:04:16,2026-02-17 16:16:03,IP Address,*******,100,706,True,2026-02-17 16:16:03,R_7JYrQr4j4i7abVT,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Directly Involved,,Self Operated,"Identifying Existing Recipes,Assessing Alignment with Therapeutic Diets,Sourcing Ingredients,Training Foodservice Staff,Creating Marketing and Promotional Materials,Persuading Executive Leadership,Persuading Staff and Colleagues,Communicating Menu Options to Patients and Diners",,,8,,2,3,,1,,,6,4,5,7,,,,"Nutrition Manager or Director,Director of Foodservice,Chef or Culinary Director",,"Nutrition Manager or Director,Director of Foodservice",,Yes,Other (Please Specify),None,"Recipes,Promotional Materials or Signage",,"Menu Promotion,Other (Please Specify)",Recipes and Justification for Recipes,Yes,"Limited Staff Time,Lack of Buy-In or Acceptance,Issues with Procurement of Ingredients",,"Virtual Meetings,Direct Email or Instant Message",,My Institution's Intranet or Staff Hub,
2026-02-17 18:58:47,2026-02-17 19:06:35,IP Address,*******,100,468,True,2026-02-17 19:06:36,R_6u3YSxUWAA8vXj3,*******,*******,*******,*******,*******,*******,anonymous,EN,Nutrition Manager or Director,,Directly Involved,,Self Operated,"Assessing Alignment with Therapeutic Diets,Training Foodservice Staff,Managing Staff Time and Workflows,Securing Kitchen Equipment and Appliances,Creating Marketing and Promotional Materials,Persuading Executive Leadership,Persuading Staff and Colleagues,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,,,,3,,,5,6,9,8,7,4,1,2,,,Regional Manager,,Regional Manager,,Yes,"Profitability,Patient Satisfaction,Diner Satisfaction,Client Satisfaction",,"Implementation Toolkits,Training Videos,Scripts for Diner-Facing Staff",,"Menu Promotion,Organizational Culture (creating a culture of health and sustainability, creating buy-in),Staff Education and Capacity,Food Systems Sustainability,Nutritional and Dietary Health",,Yes,Other (Please Specify),patient satisfaction,Pre- or Post-Shift Huddles,,Other (Please Specify),AND
2026-02-18 07:47:47,2026-02-18 08:13:31,IP Address,*******,100,1544,True,2026-02-18 08:13:31,R_69MIk5PapcGseMV,*******,*******,*******,*******,*******,*******,anonymous,EN,Nutrition Manager or Director,,Directly Involved,,Self Operated,"Creating and Testing New Recipes,Identifying Existing Recipes,Sourcing Ingredients,Preparing Recipes,Training Foodservice Staff,Managing Staff Time and Workflows,Communicating Menu Changes to Clinical Staff",,4,5,,,1,3,6,2,,,,,,7,,,Director of Foodservice,,"Patient Services Manager or Director,Dietitian",,No,"Patient Satisfaction,Cost Containment",,Recipes,,"Organizational Culture (creating a culture of health and sustainability, creating buy-in),Nutritional and Dietary Health",,yes,"Limited Staff Time,Lack of Buy-In or Acceptance,Issues with Procurement of Ingredients",,"In-Person Meetings,Pre- or Post-Shift Huddles,Other (Please Specify)",bulletin board,"Greener by Default (GBD) Website,My Institution's Intranet or Staff Hub,Other (Please Specify)",Nourish Leadership
2026-02-18 15:59:59,2026-02-18 16:15:20,IP Address,*******,100,921,True,2026-02-18 16:15:20,R_7oG8QORxZUIJW0P,*******,*******,*******,*******,*******,*******,anonymous,EN,Nutrition Manager or Director,,Directly Involved,,"Self Operated,Contract Managed","Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets,Training Foodservice Staff,Persuading Executive Leadership,Persuading Staff and Colleagues,Communicating Menu Options to Patients and Diners,Communicating Menu Changes to Clinical Staff",,,,3,4,,,1,,,,5,2,6,7,,,"Nutrition Manager or Director,Director of Foodservice,Chef or Culinary Director,Patient Services Manager or Director,Regional Manager",,"Chef or Culinary Director,Regional Manager",,Yes,"Patient Satisfaction,Cost Containment",,"Implementation Toolkits,Recipes,Promotional Materials or Signage",,Menu Promotion,,Consistent use is challenging when you do not have a dedicated person responsible for it,"Limited Staff Time,Issues with Procurement of Ingredients",,"In-Person Meetings,Direct Email or Instant Message,Pre- or Post-Shift Huddles,Newsletter or Listserv",,"Greener by Default (GBD) Website,Contracted Foodservice Management Company,My Institution's Intranet or Staff Hub",
2026-02-09 09:55:04,2026-02-12 09:33:19,IP Address,*******,47,257894,False,2026-02-19 09:33:20,R_3lFxLmu6KXRNlxi,*******,*******,*******,*******,*******,*******,anonymous,EN,Other (Please Specify),,Directly Involved,,Contract Managed,"Creating and Testing New Recipes,Identifying Existing Recipes,Assessing Alignment with Therapeutic Diets",,2,1,,3,,,,,,,,,,,,,"Chef or Culinary Director,Dietitian",,"Nutrition Manager or Director,Regional Manager",,,,,,,,,,,,,,,
2026-02-12 14:31:47,2026-02-12 14:32:35,IP Address,*******,47,47,False,2026-02-19 14:32:36,R_32tRnYOo1mhx5WE,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-13 03:18:50,2026-02-13 03:18:54,IP Address,*******,6,3,False,2026-02-20 03:18:56,R_6P67V92cORArNOZ,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-11 04:52:26,2026-02-13 10:15:18,IP Address,*******,47,192172,False,2026-02-20 10:15:20,R_7oANmSwBWO5xXHP,*******,*******,*******,*******,*******,*******,anonymous,EN,Sustainability Manager or Director,,Indirectly Involved,,Contract Managed,Sourcing Ingredients,,,,,,,,,,,,,,,,,,"Director of Foodservice,Chef or Culinary Director",,Chef or Culinary Director,,,,,,,,,,,,,,,
2026-02-13 11:13:00,2026-02-13 11:15:05,IP Address,*******,35,125,False,2026-02-20 11:15:11,R_1xJf4lyMqh2iAXM,*******,*******,*******,*******,*******,*******,anonymous,EN,Other (Please Specify),"VP, Pharmacy and clinical nutrition",Directly Involved,,Contract Managed,Assessing Alignment with Therapeutic Diets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-15 05:14:23,2026-02-15 05:16:31,IP Address,*******,29,128,False,2026-02-22 05:16:33,R_3WsPfRM86W5kzcJ,*******,*******,*******,*******,*******,*******,anonymous,EN,Chef or Culinary Director,,Directly Involved,,Self Operated,"Creating and Testing New Recipes,Identifying Existing Recipes,Conducting Nutritional Analysis,Sourcing Ingredients,Preparing Recipes,Training Foodservice Staff,Managing Staff Time and Workflows,Securing Kitchen Equipment and Appliances,Persuading Executive Leadership,Communicating Menu Options to Patients and Diners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-22 14:55:52,2026-02-22 15:03:03,IP Address,*******,100,430,True,2026-02-22 15:03:03,R_30lmoq6JXOOTlZf,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Other (Please Specify),indirectly with cafeteria menus and more directly with patient menus,Self Operated,"Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets,Training Foodservice Staff,Persuading Staff and Colleagues",,,,3,4,,,2,,,,,1,,,,,"Nutrition Manager or Director,Director of Foodservice,Dietitian",,"Nutrition Manager or Director,Director of Foodservice",,Yes,"Patient Satisfaction,Diner Satisfaction,Client Satisfaction",,"Implementation Toolkits,Culinary Training Programs,Promotional Materials or Signage",,"Menu Promotion,Staff Education and Capacity",,,Lack of Buy-In or Acceptance,,"In-Person Meetings,Virtual Meetings,Direct Email or Instant Message",,"Greener by Default (GBD) Website,My Institution's Intranet or Staff Hub",
2026-02-23 13:50:46,2026-02-23 13:56:50,IP Address,*******,100,364,True,2026-02-23 13:56:51,R_5P22DqnnQd4TnzT,*******,*******,*******,*******,*******,*******,anonymous,EN,Other (Please Specify),Project manager,Directly Involved,,Self Operated,"Creating and Testing New Recipes,Identifying Existing Recipes,Assessing Alignment with Therapeutic Diets,Sourcing Ingredients,Creating Marketing and Promotional Materials,Persuading Staff and Colleagues,Communicating Menu Changes to Clinical Staff",,3,5,,1,4,,,,,7,,2,,6,,,"Chef or Culinary Director,Patient Services Manager or Director",,Chef or Culinary Director,,Yes,Patient Satisfaction,,"Scripts for Diner-Facing Staff,Recipes,One-Page Explainers,Promotional Materials or Signage",,"Menu Promotion,Nutritional and Dietary Health",,"Generally, yes","Limited Staff Time,Issues with Procurement of Ingredients",,Pre- or Post-Shift Huddles,,My Institution's Intranet or Staff Hub,
2026-02-16 13:03:22,2026-02-16 14:23:59,IP Address,*******,6,4836,False,2026-02-23 14:24:04,R_6FPA7CCOHtgypZq,*******,*******,*******,*******,*******,*******,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-16 17:11:52,2026-02-16 17:14:15,IP Address,*******,47,142,False,2026-02-23 17:14:22,R_32rmo7jCYRDx9ed,*******,*******,*******,*******,*******,*******,anonymous,EN,Dietitian,,Indirectly Involved,,Contract Managed,"Conducting Nutritional Analysis,Assessing Alignment with Therapeutic Diets,Training Foodservice Staff,Persuading Executive Leadership",,,,3,2,,,4,,,,1,,,,,,Other (Please Specify),Patient satisfaction,Other (Please Specify),Patients,,,,,,,,,,,,,,
